,precision,recall,f1-score,support
Apple___Apple_scab,1.0,0.9523809523809523,0.975609756097561,63.0
Apple___Black_rot,0.9841269841269841,0.9841269841269841,0.9841269841269841,63.0
Apple___Cedar_apple_rust,1.0,0.9642857142857143,0.9818181818181818,28.0
Apple___healthy,0.9763313609467456,1.0,0.9880239520958084,165.0
Blueberry___healthy,1.0,0.9933774834437086,0.9966777408637874,151.0
Cherry___Powdery_mildew,0.9906542056074766,1.0,0.9953051643192489,106.0
Cherry___healthy,0.9885057471264368,1.0,0.9942196531791907,86.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.9,0.8653846153846154,0.8823529411764706,52.0
Corn___Common_rust,0.9917355371900827,1.0,0.995850622406639,120.0
Corn___Northern_Leaf_Blight,0.93,0.9393939393939394,0.9346733668341709,99.0
Corn___healthy,1.0,1.0,1.0,117.0
Grape___Black_rot,0.9915254237288136,0.9915254237288136,0.9915254237288136,118.0
Grape___Esca_(Black_Measles),0.9928057553956835,0.9928057553956835,0.9928057553956835,139.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,109.0
Grape___healthy,1.0,1.0,1.0,43.0
Orange___Haunglongbing_(Citrus_greening),1.0,0.9981884057971014,0.99909338168631,552.0
Peach___Bacterial_spot,0.9913793103448276,0.9956709956709957,0.9935205183585313,231.0
Peach___healthy,1.0,1.0,1.0,36.0
"Pepper,_bell___Bacterial_spot",0.98,0.9702970297029703,0.9751243781094527,101.0
"Pepper,_bell___healthy",0.9866666666666667,0.9932885906040269,0.9899665551839465,149.0
Potato___Early_blight,0.99,0.99,0.99,100.0
Potato___Late_blight,0.9504950495049505,0.96,0.9552238805970149,100.0
Potato___healthy,0.9230769230769231,0.75,0.8275862068965517,16.0
Raspberry___healthy,1.0,1.0,1.0,38.0
Soybean___healthy,0.996078431372549,0.9980353634577603,0.9970559371933267,509.0
Squash___Powdery_mildew,1.0,1.0,1.0,184.0
Strawberry___Leaf_scorch,1.0,0.9910714285714286,0.9955156950672646,112.0
Strawberry___healthy,1.0,1.0,1.0,47.0
Tomato___Bacterial_spot,0.954954954954955,0.9906542056074766,0.9724770642201835,214.0
Tomato___Early_blight,0.9230769230769231,0.84,0.8795811518324608,100.0
Tomato___Late_blight,0.9489795918367347,0.96875,0.9587628865979382,192.0
Tomato___Leaf_Mold,0.9019607843137255,0.9583333333333334,0.9292929292929293,96.0
Tomato___Septoria_leaf_spot,0.96,0.9438202247191011,0.9518413597733711,178.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9878787878787879,0.9644970414201184,0.9760479041916168,169.0
Tomato___Target_Spot,0.95,0.9432624113475178,0.9466192170818505,141.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.987037037037037,0.9925512104283054,0.989786443825441,537.0
Tomato___Tomato_mosaic_virus,0.972972972972973,0.9473684210526315,0.96,38.0
Tomato___healthy,1.0,0.9875,0.9937106918238994,160.0
accuracy,0.9820479941381205,0.9820479941381205,0.9820479941381205,0.9820479941381205
macro avg,0.9776379591357703,0.9701728823645572,0.9735314669414377,5459.0
weighted avg,0.9820612084604932,0.9820479941381205,0.9819311790930889,5459.0
